생성시간	이미지	분류(1 = 장소, 2 = 건물 입구, 3 = 건물 엘베, 0 = 못 쓰는 정보)
2022-11-19 14:52:06	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055157_5D3388644F1E44BA.jpeg	1
2022-11-19 14:52:07	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055205_327B56F7263A41B1.jpeg	1
2022-11-19 14:52:08	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055205_812F047DE5334491.jpeg	2
2022-11-19 14:52:09	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055157_AE1DD3B1DA504D66.jpeg	2
2022-11-19 14:52:09	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055205_A098FD96BC1B4A76.jpeg	3
2022-11-19 14:52:10	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055208_BAB53C3A6FB04EC7.jpeg	1
2022-11-19 14:52:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055241_5FCE72343FE8412E.jpeg	1
2022-11-19 14:52:44	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055241_C52D82D3CBAE4582.jpeg	1
2022-11-19 14:52:48	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055246_1F78DE7E3F75416C.jpeg	1
2022-11-19 14:52:49	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055246_F7D15B6EDD2A4FF1.jpeg	1
2022-11-19 14:53:03	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055301_5498966BEF8A4A67.jpeg	2
2022-11-19 14:53:04	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055301_8386076DAA464B8F.jpeg	2
2022-11-19 14:53:44	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055342_C277103127FD487A.jpeg	1
2022-11-19 14:53:45	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055342_843C17C28C48404E.jpeg	2
2022-11-19 14:53:45	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055342_D66A64DD2EB344E6.jpeg	3
2022-11-19 14:53:55	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055351_AF9D59A720034624.jpeg	1
2022-11-19 14:54:28	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055425_04EADECCE0F24EB3.jpeg	1
2022-11-19 14:54:28	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055425_75BDB0B9DB1A496B.jpeg	3
2022-11-19 14:54:29	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055425_C5E876A13098475E.jpeg	3
2022-11-19 14:54:52	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055447_A92A4DF4BC8744BD.jpeg	1
2022-11-19 14:54:52	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055447_B94454B037954553.jpeg	1
2022-11-19 14:54:52	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055447_DEAF36AE58954DE5.jpeg	1
2022-11-19 14:55:00	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055458_205A360FEEDB4796.jpeg	1
2022-11-19 14:56:03	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055553_0939C8A361D1422C.jpeg	1
2022-11-19 14:56:03	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055601_A250FC119B244782.jpeg	1
